probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
ANCHsOta1874BP1AK1	438	168	0	168	168	
ANCHsOta1874BP2AK1	332	115	0	115	115	
ANCHsOtb1874BP3CHM13	200	92	0	92	92	
DELHsOtb1141BP0HG04217	200	48	0	48	48	
DELHsOth1122BP0CHM1	1737	994	0	994	994	
DELHsOth1306BP0HG02818	138	16	0	16	16	
INSHsOta1141BP1HG04217	3239	59	5	54	54	errorMatches
INSHsOta1141BP2HG04217	3054	61	8	53	53	errorMatches
INSHsOta1874BP1CHM13	5106	1212	0	1212	1212	
INSHsOta1874BP2CHM13	6345	1237	2	1235	1235	errorMatches
INSHsOth0154BP1AK1	6693	1364	7	1357	1357	errorMatches
INSHsOth0154BP2AK1	6185	1232	3	1229	1229	errorMatches
INSHsOth0170BP1bNA19129	87	56	0	56	525	
INSHsOth0170BP1aNA12156	835	469	0	469	525	
INSHsOth0170BP2NA12156	3553	546	0	546	546	
INSHsOth0171BP1NA12878	3648	339	0	339	339	
INSHsOth0171BP2NA12878	3655	388	0	388	388	
INSHsOth0178BP1UNKN	1467	166	0	166	166	
INSHsOth0178BP2UNKN	2806	151	1	150	150	errorMatches
INSHsOth0182BP1NA12878	5166	982	0	982	982	
INSHsOth0182BP2NA12878	5839	1068	1	1067	1067	errorMatches
INSHsOth0186BP1NA19434	1906	70	0	70	70	
INSHsOth0186BP2NA19434	2042	68	0	68	68	
INSHsOth0211BP1HX1	787	446	0	446	446	
INSHsOth0211BP2HX1	2142	425	0	425	425	
INSHsOth0224BP1CHM13	4049	494	0	494	494	
INSHsOth0224BP2CHM13	3626	381	2	379	379	errorMatches
INSHsOth0310BP1CHM13	2424	231	0	231	231	
INSHsOth0310BP2CHM13	2635	239	1	238	238	errorMatches
INSHsOth0335BP1NA18555	7	1	0	1	1	
INSHsOth0335BP2NA18555	2422	242	233	9	9	errorMatches
INSHsOth0463BP1YH	4294	573	6	567	567	errorMatches
INSHsOth0463BP2YH	3656	552	149	403	403	errorMatches
INSHsOth0574BP1CHM13	4210	692	4	688	688	errorMatches
INSHsOth0574BP2CHM13	4933	1183	617	566	566	errorMatches
